Date : 2022-04-08 01:04:23
Directory : /Users/apple/Documents/Projects/ivex
Total : 373 files,  43963 codes, 2903 comments, 4742 blanks, all 51608 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| client/src/Components/FooterComps/VOP/VopSectionI                                                                                     |          2 |         54 |          0 |         11 |         65 |
| client/src/Components/ForgottenPassword                                                                                               |          2 |        210 |          3 |         29 |        242 |
| client/src/Components/FrontPage                                                                                                       |         11 |      1,137 |         11 |        150 |      1,298 |
| client/src/Components/FrontPage/MembershipFrontpage                                                                                   |          2 |        314 |          2 |         32 |        348 |
| client/src/Components/FrontPage/PickedScripts                                                                                         |          2 |        212 |          2 |         21 |        235 |
| client/src/Components/FrontPage/SectionI                                                                                              |          2 |        318 |          2 |         46 |        366 |
| client/src/Components/FrontPage/SectionII                                                                                             |          2 |        101 |          2 |         20 |        123 |
| client/src/Components/FrontPage/SectionIII                                                                                            |          2 |        149 |          2 |         26 |        177 |
| client/src/Components/Library                                                                                                         |          4 |        465 |          6 |         53 |        524 |
| client/src/Components/Login                                                                                                           |          2 |        298 |         10 |         35 |        343 |
| client/src/Components/Page404                                                                                                         |          2 |         46 |          1 |         11 |         58 |
| client/src/Components/PdfViewer                                                                                                       |          2 |      1,284 |        134 |        167 |      1,585 |
| client/src/Components/Profile                                                                                                         |         35 |      7,433 |        153 |        496 |      8,082 |
| client/src/Components/Profile/AdminProfile                                                                                            |         18 |      4,029 |         80 |        269 |      4,378 |
| client/src/Components/Profile/AdminProfile/AdminCategoriesTable                                                                       |          2 |        264 |          7 |         25 |        296 |
| client/src/Components/Profile/AdminProfile/AdminPublisherProfile                                                                      |          2 |        912 |          5 |         55 |        972 |
| client/src/Components/Profile/AdminProfile/AdminScriptsTable                                                                          |          2 |        194 |         10 |         19 |        223 |
| client/src/Components/Profile/AdminProfile/AdminUserProfile                                                                           |          2 |        727 |          4 |         37 |        768 |
| client/src/Components/Profile/AdminProfile/AdminUserTable                                                                             |          2 |        334 |          8 |         21 |        363 |
| client/src/Components/Profile/AdminProfile/CreatePublisher                                                                            |          2 |        189 |          6 |          7 |        202 |
| client/src/Components/Profile/AdminProfile/CreateScript                                                                               |          2 |        583 |         19 |         31 |        633 |
| client/src/Components/Profile/AdminProfile/EditAdminProfile                                                                           |          2 |        213 |          4 |         15 |        232 |
| client/src/Components/Profile/ProfileAllScripts                                                                                       |          1 |         83 |          2 |         11 |         96 |
| client/src/Components/Profile/ProfileCarousel                                                                                         |          3 |        295 |          4 |         27 |        326 |
| client/src/Components/Profile/PublisherProfile                                                                                        |          6 |      1,615 |         22 |         91 |      1,728 |
| client/src/Components/Profile/PublisherProfile/ChangeScriptPublisher                                                                  |          2 |        183 |          1 |         15 |        199 |
| client/src/Components/Profile/PublisherProfile/CreateScriptPublisher                                                                  |          2 |        572 |         19 |         36 |        627 |
| client/src/Components/Profile/UserProfile                                                                                             |          5 |      1,199 |         42 |         71 |      1,312 |
| client/src/Components/Profile/UserProfile/UserProfileParts                                                                            |          3 |        915 |         23 |         47 |        985 |
| client/src/Components/Registration                                                                                                    |          9 |      1,374 |        110 |        190 |      1,674 |
| client/src/Components/Registration/MembershipReg                                                                                      |          2 |        350 |          2 |         25 |        377 |
| client/src/Components/Registration/RegSectionI                                                                                        |          2 |         69 |          0 |         15 |         84 |
| client/src/Components/Registration/__test__                                                                                           |          1 |        236 |         61 |         66 |        363 |
| client/src/Components/ScriptsPage                                                                                                     |          6 |      1,284 |         20 |         90 |      1,394 |
| client/src/Components/ScriptsPage/Admin                                                                                               |          2 |        732 |         12 |         37 |        781 |
| client/src/Components/ScriptsPage/SectionIScript                                                                                      |          2 |         66 |          0 |         12 |         78 |
| client/src/Components/Thanks                                                                                                          |          2 |         56 |          1 |         12 |         69 |
| client/src/Components/UnsubscribeFromEmails                                                                                           |          1 |         76 |          1 |         10 |         87 |
| client/src/Components/VerificationEmail                                                                                               |          1 |         37 |          1 |          7 |         45 |
| client/src/css                                                                                                                        |          1 |          1 |          1 |          0 |          2 |
| client/src/helpers                                                                                                                    |          6 |        332 |         32 |         95 |        459 |
| client/src/helpers/requests                                                                                                           |          1 |         27 |          4 |          9 |         40 |
| client/src/helpers/validators                                                                                                         |          4 |        294 |         28 |         84 |        406 |
| client/src/scripts                                                                                                                    |          1 |         48 |          0 |          1 |         49 |
| client/src/utils                                                                                                                      |         38 |      2,357 |         54 |        303 |      2,714 |
| client/src/utils/Alerts                                                                                                               |          6 |        134 |         11 |         21 |        166 |
| client/src/utils/Alerts/ErrorAlert                                                                                                    |          2 |         26 |          9 |          6 |         41 |
| client/src/utils/Alerts/InfoAlert                                                                                                     |          2 |         65 |          0 |          7 |         72 |
| client/src/utils/Alerts/SuccessAlert                                                                                                  |          2 |         43 |          2 |          8 |         53 |
| client/src/utils/Button                                                                                                               |          4 |        154 |          3 |         34 |        191 |
| client/src/utils/Footer                                                                                                               |          2 |        115 |          7 |         15 |        137 |
| client/src/utils/FrontpageCard                                                                                                        |          2 |         55 |          0 |          8 |         63 |
| client/src/utils/Heading                                                                                                              |          2 |         63 |          0 |         10 |         73 |
| client/src/utils/LineChart                                                                                                            |          2 |        199 |          1 |         19 |        219 |
| client/src/utils/Navbars                                                                                                              |          2 |        543 |          3 |         49 |        595 |
| client/src/utils/PriceCard                                                                                                            |          2 |        238 |          4 |         37 |        279 |
| client/src/utils/PriceCardFrontpage                                                                                                   |          2 |        333 |          6 |         51 |        390 |
| client/src/utils/ProfileCard                                                                                                          |          2 |         42 |          0 |          5 |         47 |
| client/src/utils/ScriptCard                                                                                                           |          2 |        129 |          4 |         14 |        147 |
| client/src/utils/ScriptsCarousel                                                                                                      |          2 |        230 |         14 |         20 |        264 |
| client/src/utils/Searchbar                                                                                                            |          2 |         36 |          0 |          4 |         40 |
| client/src/utils/Spinner                                                                                                              |          1 |         10 |          0 |          4 |         14 |
| client/src/utils/SubscriptionCard                                                                                                     |          2 |         55 |          0 |          7 |         62 |
| client/src/utils/Tags                                                                                                                 |          2 |         21 |          0 |          4 |         25 |
| server                                                                                                                                |        157 |     15,009 |        399 |        947 |     16,355 |
| server/build                                                                                                                          |         69 |      5,346 |         69 |          0 |      5,415 |
| server/build/controllers                                                                                                              |          8 |      2,220 |          8 |          0 |      2,228 |
| server/build/database                                                                                                                 |         21 |        893 |         21 |          0 |        914 |
| server/build/database/models                                                                                                          |         10 |        375 |         10 |          0 |        385 |
| server/build/database/seeders                                                                                                         |          8 |        418 |          8 |          0 |        426 |
| server/build/emails                                                                                                                   |          2 |         33 |          2 |          0 |         35 |
| server/build/helpers                                                                                                                  |          6 |        163 |          6 |          0 |        169 |
| server/build/jobs                                                                                                                     |          2 |         78 |          2 |          0 |         80 |
| server/build/middlewares                                                                                                              |          3 |        173 |          3 |          0 |        176 |
| server/build/routes                                                                                                                   |          9 |        230 |          9 |          0 |        239 |
| server/build/tests                                                                                                                    |          9 |        857 |          9 |          0 |        866 |
| server/build/tests/Highlights                                                                                                         |          2 |        290 |          2 |          0 |        292 |
| server/build/tests/Publisher                                                                                                          |          3 |        225 |          3 |          0 |        228 |
| server/build/tests/Scripts                                                                                                            |          2 |        108 |          2 |          0 |        110 |
| server/build/tests/User                                                                                                               |          2 |        234 |          2 |          0 |        236 |
| server/build/validators                                                                                                               |          8 |        669 |          8 |          0 |        677 |
| server/build/validators/Admin                                                                                                         |          1 |         47 |          1 |          0 |         48 |
| server/build/validators/Analytics                                                                                                     |          1 |         44 |          1 |          0 |         45 |
| server/build/validators/Auth                                                                                                          |          1 |         15 |          1 |          0 |         16 |
| server/build/validators/Highlights                                                                                                    |          1 |         81 |          1 |          0 |         82 |
| server/build/validators/Publisher                                                                                                     |          1 |         89 |          1 |          0 |         90 |
| server/build/validators/Script                                                                                                        |          1 |        111 |          1 |          0 |        112 |
| server/build/validators/User                                                                                                          |          1 |        217 |          1 |          0 |        218 |
| server/src                                                                                                                            |         85 |      9,548 |        330 |        942 |     10,820 |
| server/src/controllers                                                                                                                |         10 |      2,533 |        102 |        257 |      2,892 |
| server/src/database                                                                                                                   |         21 |        950 |         77 |         64 |      1,091 |
| server/src/database/models                                                                                                            |         10 |        481 |          3 |         33 |        517 |
| server/src/database/seeders                                                                                                           |          8 |        391 |         72 |         23 |        486 |
| server/src/emails                                                                                                                     |         14 |      3,806 |          1 |        303 |      4,110 |
| server/src/emails/templates                                                                                                           |         12 |      3,780 |          0 |        300 |      4,080 |
| server/src/emails/templates/layouts                                                                                                   |         11 |      3,710 |          0 |        285 |      3,995 |
| server/src/helpers                                                                                                                    |          6 |        140 |          4 |         26 |        170 |
| server/src/jobs                                                                                                                       |          2 |         55 |          0 |          4 |         59 |
| server/src/middlewares                                                                                                                |          3 |        150 |          0 |         13 |        163 |
| server/src/routes                                                                                                                     |         11 |        522 |         30 |         69 |        621 |
| server/src/tests                                                                                                                      |          9 |        742 |        110 |        109 |        961 |
| server/src/tests/Highlights                                                                                                           |          2 |        270 |         25 |         42 |        337 |
| server/src/tests/Publisher                                                                                                            |          3 |        185 |          3 |         32 |        220 |
| server/src/tests/Scripts                                                                                                              |          2 |         80 |         80 |         17 |        177 |
| server/src/tests/User                                                                                                                 |          2 |        207 |          2 |         18 |        227 |
| server/src/validators                                                                                                                 |          8 |        618 |          0 |         88 |        706 |
| server/src/validators/Admin                                                                                                           |          1 |         44 |          0 |          7 |         51 |
| server/src/validators/Analytics                                                                                                       |          1 |         41 |          0 |          7 |         48 |
| server/src/validators/Auth                                                                                                            |          1 |         12 |          0 |          2 |         14 |
| server/src/validators/Highlights                                                                                                      |          1 |         78 |          0 |         13 |         91 |
| server/src/validators/Publisher                                                                                                       |          1 |         86 |          0 |         13 |         99 |
| server/src/validators/Script                                                                                                          |          1 |        108 |          0 |         21 |        129 |
| server/src/validators/User                                                                                                            |          1 |        214 |          0 |         24 |        238 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                              | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/apple/Documents/Projects/ivex/.github/workflows/node.js.yml                                                                    | YAML               |         25 |          2 |          3 |         30 |
| /Users/apple/Documents/Projects/ivex/client/.eslintrc.json                                                                            | JSON with Comments |         29 |          0 |          4 |         33 |
| /Users/apple/Documents/Projects/ivex/client/README.md                                                                                 | Markdown           |         38 |          0 |         33 |         71 |
| /Users/apple/Documents/Projects/ivex/client/package.json                                                                              | JSON               |         70 |          0 |          1 |         71 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/BG.svg                                                                  | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/GDPR-VOP.svg                                                            | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/Landing-jednoduche.svg                                                  | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/bg_blue.svg                                                             | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/bg_white.svg                                                            | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/change-password.svg                                                     | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/forgot-password.svg                                                     | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/landing-students.svg                                                    | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/landing_online.svg                                                      | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/login.svg                                                               | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/reg-info.svg                                                            | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/reg-nadseni.svg                                                         | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/spristupni.svg                                                          | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/animations/thanks.svg                                                              | XML                |          2 |          0 |          0 |          2 |
| /Users/apple/Documents/Projects/ivex/client/public/css/index.css                                                                      | CSS                |         26 |        375 |          5 |        406 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/arrow-accordion.svg                                                          | XML                |          6 |          0 |          1 |          7 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/arrow-down.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/books.svg                                                                    | XML                |         10 |          0 |          1 |         11 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/dark.svg                                                                     | XML                |         10 |          0 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/guma-aktivni.svg                                                             | XML                |          4 |          0 |          1 |          5 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/guma-ne-aktivni.svg                                                          | XML                |          4 |          0 |          1 |          5 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/info.svg                                                                     | XML                |         26 |          0 |          1 |         27 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/light.svg                                                                    | XML                |         12 |          0 |          0 |         12 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/mark-d.svg                                                                   | XML                |          6 |          0 |          1 |          7 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/mark-l.svg                                                                   | XML                |          6 |          0 |          1 |          7 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/marker-blue.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/marker-green.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/marker-purple.svg                                                            | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/marker-red.svg                                                               | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/menu-d.svg                                                                   | XML                |         14 |          0 |          0 |         14 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/next.svg                                                                     | XML                |          7 |          0 |          0 |          7 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/prev.svg                                                                     | XML                |          5 |          0 |          1 |          6 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/punctuality.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/search-icon.svg                                                              | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/search.svg                                                                   | XML                |          4 |          0 |          1 |          5 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/select-arrow.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/student.svg                                                                  | XML                |         18 |          0 |          1 |         19 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/unlimited-storage.svg                                                        | XML                |          7 |          0 |          1 |          8 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/zoom-in-d.svg                                                                | XML                |         11 |          0 |          0 |         11 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/zoom-in-l.svg                                                                | XML                |         11 |          0 |          0 |         11 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/zoom-out-d.svg                                                               | XML                |         10 |          0 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/client/public/icons/zoom-out-l.svg                                                               | XML                |         10 |          0 |          0 |         10 |
| /Users/apple/Documents/Projects/ivex/client/public/img/alexadner_svetlik.svg                                                          | XML                |         20 |          0 |          1 |         21 |
| /Users/apple/Documents/Projects/ivex/client/public/img/burger.svg                                                                     | XML                |          5 |          0 |          1 |          6 |
| /Users/apple/Documents/Projects/ivex/client/public/img/euro.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/eye.svg                                                                        | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/hand_icon.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/ivan_fratric.svg                                                               | XML                |         20 |          0 |          1 |         21 |
| /Users/apple/Documents/Projects/ivex/client/public/img/price_wave.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/star.svg                                                                       | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/star_full.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/vlajka.svg                                                                     | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/wave-down-gray.svg                                                             | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/wave-down.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/wave-gray.svg                                                                  | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/wave-up.svg                                                                    | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/img/wave-white.svg                                                                 | XML                |          3 |          0 |          1 |          4 |
| /Users/apple/Documents/Projects/ivex/client/public/index.html                                                                         | HTML               |         46 |         12 |          4 |         62 |
| /Users/apple/Documents/Projects/ivex/client/public/js/AnnotatorExtra.js                                                               | JavaScript         |         32 |          3 |          4 |         39 |
| /Users/apple/Documents/Projects/ivex/client/public/js/script.js                                                                       | JavaScript         |         36 |          7 |          5 |         48 |
| /Users/apple/Documents/Projects/ivex/client/public/lib/jquery-1.8.2.js                                                                | JavaScript         |      6,518 |      1,430 |      1,493 |      9,441 |
| /Users/apple/Documents/Projects/ivex/client/public/manifest.json                                                                      | JSON               |         15 |          0 |          1 |         16 |
| /Users/apple/Documents/Projects/ivex/client/public/sitemap.xml                                                                        | XML                |         10 |          0 |          1 |         11 |
| /Users/apple/Documents/Projects/ivex/client/src/App.js                                                                                | JavaScript         |      2,036 |         73 |        100 |      2,209 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/AdminCreateUser/AdminCreateUser.comp.js                                    | JavaScript         |        320 |          2 |         14 |        336 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/AdminCreateUser/_adminCreateUser.scss                                      | SCSS               |          6 |          0 |          1 |          7 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ChangePassword/ChangePassword.js                                           | JavaScript         |        124 |          6 |          9 |        139 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ChangePassword/_changePassword.scss                                        | SCSS               |         74 |          0 |         19 |         93 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/CookieBanner/_cookieBanner.scss                                            | SCSS               |         35 |          0 |          6 |         41 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/CookieBanner/cookiebanner.js                                               | JavaScript         |         55 |          0 |          3 |         58 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/Contact/Contact.js                                             | JavaScript         |        326 |          3 |         26 |        355 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/Contact/ContactSectionI/ContactSectionI.js                     | JavaScript         |         24 |          0 |          6 |         30 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/Contact/ContactSectionI/_contactSectionI.scss                  | SCSS               |         30 |          0 |          5 |         35 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/Contact/_contact.scss                                          | SCSS               |         55 |          3 |         16 |         74 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/FAQ/FAQ.js                                                     | JavaScript         |        221 |          1 |         20 |        242 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/FAQ/_faq.scss                                                  | SCSS               |         21 |          0 |          8 |         29 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/GDPR/GDPR.js                                                   | JavaScript         |      1,024 |          0 |        154 |      1,178 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/GDPR/GdprSectionI/GdprSectionI.js                              | JavaScript         |         24 |          0 |          6 |         30 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/GDPR/GdprSectionI/_gdprSectionI.scss                           | SCSS               |         30 |          0 |          5 |         35 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/GDPR/_gdpr.scss                                                | SCSS               |         74 |          0 |         19 |         93 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/VOP/VOP.js                                                     | JavaScript         |        228 |          0 |         16 |        244 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/VOP/VopSectionI/VopSectionI.js                                 | JavaScript         |         24 |          0 |          6 |         30 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/VOP/VopSectionI/_vopSectionI.scss                              | SCSS               |         30 |          0 |          5 |         35 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FooterComps/VOP/_vop.scss                                                  | SCSS               |         44 |          0 |         12 |         56 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ForgottenPassword/ForgottenPassword.js                                     | JavaScript         |        137 |          3 |          9 |        149 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/ForgottenPassword/_forgottenPassword.scss                                  | SCSS               |         73 |          0 |         20 |         93 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/FrontPage.js                                                     | JavaScript         |         43 |          1 |          5 |         49 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/MembershipFrontpage/MembershipFrontpage.js                       | JavaScript         |        226 |          1 |         12 |        239 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/MembershipFrontpage/_membershipFrontpage.scss                    | SCSS               |         88 |          1 |         20 |        109 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/PickedScripts/Pickedscripts.comp.js                              | JavaScript         |        109 |          1 |          9 |        119 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/PickedScripts/_Pickedscript.comp.scss                            | SCSS               |        103 |          1 |         12 |        116 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionI/SectionI.js                                             | JavaScript         |        195 |          2 |         20 |        217 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionI/_sectionI.scss                                          | SCSS               |        123 |          0 |         26 |        149 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionII/SectionII.js                                           | JavaScript         |         61 |          0 |         13 |         74 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionII/_sectionII.scss                                        | SCSS               |         40 |          2 |          7 |         49 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionIII/SectionIII.js                                         | JavaScript         |         65 |          0 |         11 |         76 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/FrontPage/SectionIII/_sectionIII.scss                                      | SCSS               |         84 |          2 |         15 |        101 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Library/Library.comp.js                                                    | JavaScript         |        297 |          5 |         22 |        324 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Library/LibraryCategoryComponent.js                                        | JavaScript         |         88 |          1 |         11 |        100 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Library/_library.comp.scss                                                 | SCSS               |         51 |          0 |         14 |         65 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Library/_librarycategorycomponent.scss                                     | SCSS               |         29 |          0 |          6 |         35 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Login/Login.js                                                             | JavaScript         |        221 |         10 |         13 |        244 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Login/_login.scss                                                          | SCSS               |         77 |          0 |         22 |         99 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Page404/Page404.comp.js                                                    | JavaScript         |         29 |          1 |          7 |         37 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/Page404/_page404.scss                                                      | SCSS               |         17 |          0 |          4 |         21 |
| /Users/apple/Documents/Projects/ivex/client/src/Components/PdfViewer/PdfViewer.css                                                    | CSS                |        436 |         24 |         93 |        553 |
